item_name,full_price,new_price,discount,amount_saved,category
raid cockroach bait,Was $18.00, $ 15 30 ,Save $2.70,15.0,Unknown
havana 5 star espresso grind,Was $10.00, $ 8 50 ,Save $1.50,15.0,Pantry
frula skin face exfoliating superfood scrub & mask,Was $20.00, $ 17 00 ,Save $3.00,15.0,Unknown
hellers ol smokey streaky bacon,Was $20.00, $ 17 00 ,Save $3.00,15.0,Fridge & Deli
ethique solid body lotion coconut & lemongrass,Was $20.00, $ 17 00 ,Save $3.00,15.0,Health & Body
ethique solid body cream unscented,Was $20.00, $ 17 00 ,Save $3.00,15.0,Fridge & Deli
hubbards simply mega natural muesli with fruit & nuts,Was $10.00, $ 8 50 ,Save $1.50,15.0,Unknown
olivani olive oil extra virgin,Was $20.00, $ 17 00 ,Save $3.00,15.0,Fridge & Deli
havana coffee beans super deluxe,Was $10.00, $ 8 50 ,Save $1.50,15.0,Drinks
kapiti deli cheese gouda cumin seeds,Was $10.00, $ 8 50 ,Save $1.50,15.0,Fridge & Deli
havana plunger grind x blend,Was $10.00, $ 8 50 ,Save $1.50,15.0,Unknown
shore mariner marinara mix,Was $10.00, $ 8 50 ,Save $1.50,15.0,Unknown
quartz reef sparkling methode traditional,Was $39.99, $ 34 00 ,Save $5.99,14.98,Unknown
ruffino chianti,Was $19.99, $ 17 00 ,Save $2.99,14.96,Unknown
natures way kids smart fish oil trio,Was $19.99, $ 17 00 ,Save $2.99,14.96,Fish & Seafood
veuve du vernay rose ice,Was $19.99, $ 17 00 ,Save $2.99,14.96,Beer & Wine
voltaren pain relief emulgel,Was $19.99, $ 17 00 ,Save $2.99,14.96,Unknown
atkins nutrition bar caramel chocolate nut roll,Was $19.99, $ 17 00 ,Save $2.99,14.96,Pantry
quest protein bar chocolate chip cookie dough,Was $19.99, $ 17 00 ,Save $2.99,14.96,Pantry
veuve du vernay sparkling ice,Was $19.99, $ 17 00 ,Save $2.99,14.96,Unknown
johnny q shiraz australia,Was $19.99, $ 17 00 ,Save $2.99,14.96,Beer & Wine
johnny q cabernet sauvignon australia,Was $19.99, $ 17 00 ,Save $2.99,14.96,Beer & Wine
quest protein bar cookies & cream,Was $19.99, $ 17 00 ,Save $2.99,14.96,Fridge & Deli
colgate slim soft toothbrush charcoal slim tip soft bristle,Was $5.29, $ 4 50 ,Save $0.79,14.93,Unknown
atkins low carb crispbread,Was $4.69, $ 3 99 ,Save $0.70,14.93,Bakery
colgate total antibacterial toothpaste advanced clean value pack,Was $9.99, $ 8 50 ,Save $1.49,14.91,Health & Body
colgate total antibacterial toothpaste whitening value pack,Was $9.99, $ 8 50 ,Save $1.49,14.91,Health & Body
sensodyne pronamel toothpaste gentle whitening,Was $9.99, $ 8 50 ,Save $1.49,14.91,Health & Body
nestle bakers choice choc bits delightful white chocolate,Was $4.70, $ 4 00 ,Save $0.70,14.89,Pantry
nestle bakers choice choc bits delightful dark chocolate,Was $4.70, $ 4 00 ,Save $0.70,14.89,Pantry
nestle chocolate bits milk chocolate,Was $4.70, $ 4 00 ,Save $0.70,14.89,Pantry
nestle cocoa powder,Was $4.70, $ 4 00 ,Save $0.70,14.89,Unknown
metamucil dietary supplement fibre smooth orange 114 dose,Was $46.99, $ 40 00 ,Save $6.99,14.88,Unknown
silver fern farms NZ beef flat iron steaks,Was $13.50, $ 11 50 ,Save $2.00,14.81,Drinks
golden circle pineapple slices in syrup,Was $2.70, $ 2 30 ,Save $0.40,14.81,Unknown
golden circle pineapple pieces in syrup,Was $2.70, $ 2 30 ,Save $0.40,14.81,Unknown
berocca performance effervescent energy vitamin c orange,Was $13.50, $ 11 50 ,Save $2.00,14.81,Health & Body
ceres organics seaweed snack nori,Was $2.70, $ 2 30 ,Save $0.40,14.81,Unknown
scotch brite kitchen cloth microfibre,Was $5.40, $ 4 60 ,Save $0.80,14.81,Unknown
sanitarium weet-bix gluten free breakfast cereal,Was $8.10, $ 6 90 ,Save $1.20,14.81,Pantry
golden circle pineapple crushed in juice,Was $2.70, $ 2 30 ,Save $0.40,14.81,Drinks
berocca performance effervescent energy vitamin c mango & orange,Was $13.50, $ 11 50 ,Save $2.00,14.81,Health & Body
berocca performance effervescent energy vitamin c original berry,Was $13.50, $ 11 50 ,Save $2.00,14.81,Health & Body
silver fern farms venison steaks,Was $13.50, $ 11 50 ,Save $2.00,14.81,Drinks
silver fern farms lamb steaks,Was $13.50, $ 11 50 ,Save $2.00,14.81,Drinks
ceres organics seaweed snack salt & vinegar,Was $2.70, $ 2 30 ,Save $0.40,14.81,Unknown
golden circle pineapple pieces in juice,Was $2.70, $ 2 30 ,Save $0.40,14.81,Drinks
